26-03-2024 00:31:04.341 [http-nio-0.0.0.0-8084-exec-2] INFO  c.t.d.service.DevicestatusService.getRoaming - El usuario está en roaming en null
26-03-2024 00:46:45.687 [background-preinit] INFO  o.h.validator.internal.util.Version.<clinit> - HV000001: Hibernate Validator 8.0.1.Final
26-03-2024 00:46:45.708 [main] INFO  c.t.d.DevicestatusApplication.logStarting - Starting DevicestatusApplication using Java 17.0.10 with PID 538825 (/home/alejandro/TFM/devicestatus/target/classes started by alejandro in /home/alejandro/TFM/devicestatus)
26-03-2024 00:46:45.709 [main] INFO  c.t.d.DevicestatusApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
26-03-2024 00:46:46.250 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.multipleStoresDetected - Multiple Spring Data modules found, entering strict repository configuration mode
26-03-2024 00:46:46.250 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
26-03-2024 00:46:46.311 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Finished Spring Data repository scanning in 58 ms. Found 1 MongoDB repository interface.
26-03-2024 00:46:46.319 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.multipleStoresDetected - Multiple Spring Data modules found, entering strict repository configuration mode
26-03-2024 00:46:46.319 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
26-03-2024 00:46:46.326 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport.isStrictRepositoryCandidate - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.tfm.devicestatus.repository.DevicestatusRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
26-03-2024 00:46:46.326 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Finished Spring Data repository scanning in 3 ms. Found 0 Redis repository interfaces.
26-03-2024 00:46:46.553 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer.initialize - Tomcat initialized with port 8084 (http)
26-03-2024 00:46:46.559 [main] INFO  o.a.coyote.http11.Http11NioProtocol.log - Initializing ProtocolHandler ["http-nio-0.0.0.0-8084"]
26-03-2024 00:46:46.560 [main] INFO  o.a.catalina.core.StandardService.log - Starting service [Tomcat]
26-03-2024 00:46:46.560 [main] INFO  o.a.catalina.core.StandardEngine.log - Starting Servlet engine: [Apache Tomcat/10.1.19]
26-03-2024 00:46:46.591 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/].log - Initializing Spring embedded WebApplicationContext
